,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,NetworkDS;ObjectDS,PatchDS;AmountDS,PointMeasuresDS;EventDS,__actual_total
ObjectDS,42,4,1,4,8,1,0,1,0,2,0,0,0,63
AmountDS,0,2,0,1,1,0,0,0,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EventDS,0,1,0,1,1,0,0,0,0,0,0,0,0,3
PatchDS,0,0,0,0,5,0,0,0,1,2,0,0,0,8
LatticeDS,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ContourDS,0,0,0,0,1,0,3,0,0,0,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,2,0,0,0,0,0,2
CoverageDS,0,0,0,0,0,0,1,0,5,0,0,0,0,6
NetworkDS,0,2,0,0,0,0,0,0,0,6,0,0,0,8
NetworkDS;ObjectDS,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PatchDS;AmountDS,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PointMeasuresDS;EventDS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
__predicted_total,42,10,1,6,17,13,4,4,7,10,0,0,0,114
