,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,NetworkDS;ObjectDS,PatchDS;AmountDS,PointMeasuresDS;EventDS,__actual_total
ObjectDS,53,3,0,0,3,2,0,1,1,0,0,0,0,63
AmountDS,2,0,0,1,1,0,0,0,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EventDS,1,1,0,1,0,0,0,0,0,0,0,0,0,3
PatchDS,2,0,0,0,5,0,0,0,1,0,0,0,0,8
LatticeDS,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,0,0,0,4
PointMeasuresDS,0,1,0,0,0,0,0,1,0,0,0,0,0,2
CoverageDS,0,0,0,0,5,0,0,0,1,0,0,0,0,6
NetworkDS,0,0,0,0,0,0,0,0,0,8,0,0,0,8
NetworkDS;ObjectDS,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PatchDS;AmountDS,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PointMeasuresDS;EventDS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
__predicted_total,58,5,0,2,15,14,4,3,4,9,0,0,0,114
